R,G,B,WhoThinksSo,Color
190.0,6.0,203.0,Darren,Purple
181.0,28.0,192.0,Darren,Purple
205.0,40.0,238.0,Darren,Purple
186.0,7.0,252.0,Yanwei,Purple
205.0,41.0,255.0,Sooraj,Purple
181.0,55.0,219.0,Sooraj,Purple
116.0,22.0,185.0,Sooraj,Purple
184.0,32.0,249.0,Lihini,Purple
144.0,49.0,214.0,Sooraj,Purple
110.0,61.0,142.0,Kamya,Purple
145.0,66.0,198.0,Kamya,Purple
192.0,160.0,213.0,Kamya,Purple
148.0,60.0,175.0,John,Purple
180.0,160.0,213.0,Kamya,Purple
166.0,130.0,228.0,Kamya,Purple
221.0,216.0,235.0,Edward,Purple
127.0,0.0,255.0,Karina,Purple
154.0,8.0,252.0,Yanwei,Purple
111.0,50.0,168.0,Olina,Purple
204.0,189.0,245.0,Kamya,Purple
188.0,66.0,245.0,Tony,Purple
115.0,57.0,230.0,Tony,Purple
134.0,22.0,210.0,Lihini,Purple
145.0,12.0,235.0,Tony,Purple
133.0,54.0,178.0,Lihini,Purple
139.0,46.0,210.0,Ben,Purple
170.0,65.0,250.0,Ben,Purple
96.0,61.0,135.0,Yeana,Purple
99.0,44.0,171.0,Yeana,Purple
169.0,76.0,222.0,Jessica,Purple
133.0,32.0,158.0,Jessica,Purple
184.0,54.0,216.0,Jessica,Purple
118.0,46.0,199.0,Yeana,Purple
141.0,88.0,232.0,Olina,Purple
79.0,14.0,140.0,Olina,Purple
137.0,81.0,214.0,Olina,Purple
146.0,24.0,240.0,Felix,Purple
175.0,34.0,246.0,Darren,Purple
169.0,89.0,209.0,Darren,Purple
102.0,0.0,102.0,Karina,Purple
120.0,8.0,185.0,Lihini,Purple
156.0,8.0,108.0,karina,Purple
139.0,102.0,181.0,Kamya,Purple
136.0,105.0,171.0,Kamya,Purple
178.0,102.0,255.0,Yanwei,Purple
150.0,90.0,200.0,Karina,Purple
173.0,76.0,229.0,Lihini,Purple
152.0,100.0,255.0,Yanwei,Purple
110.0,43.0,127.0,John,Purple
198.0,155.0,247.0,Kamya,Purple
189.0,151.0,219.0,Kamya,Purple
76.0,58.0,79.0,Edward,Purple
160.0,0.0,253.0,jack,Purple
98.0,13.0,141.0,Karina,Purple
161.0,65.0,216.0,Lihini,Purple
146.0,34.0,220.0,Lihini,Purple
171.0,45.0,255.0,Lihini,Purple
115.0,24.0,176.0,John,Purple
